,0
0,0.21364212
1,0.05939765
2,0.103461675
3,0.1293414
4,0.13510008
5,0.13085112
6,0.13010645
7,0.12972407
8,0.12944028
9,0.1350482
10,0.13613018
11,0.12928283
12,0.13489561
13,0.13477184
14,0.13538419
15,0.12920344
16,0.12919849
17,0.13487382
18,0.1291618
19,0.12941353
20,0.12971875
21,0.14059003
22,0.13477522
23,0.1290496
24,0.1291253
25,0.12908104
26,0.14044382
27,0.1290321
28,0.12903112
29,0.129116
30,0.1403854
31,0.1346411
32,0.12905532
33,0.13485557
34,0.12903911
35,0.13478324
36,0.12909923
37,0.13485457
38,0.13473003
39,0.13474928
40,0.12906888
41,0.13381247
42,0.14041276
43,0.1349142
44,0.13480675
45,0.12891364
46,0.1290173
47,0.14058305
48,0.12907147
49,0.13466762
50,0.12929612
51,0.12904212
52,0.1346274
53,0.13474703
54,0.13470176
55,0.1290702
56,0.1347878
57,0.12904677
58,0.13887963
59,0.1404264
60,0.14044222
61,0.1347885
62,0.13477105
63,0.1311964
64,0.12919797
65,0.12897263
66,0.13472337
67,0.12895338
68,0.13467285
69,0.12954853
70,0.1338901
71,0.12897034
72,0.1289803
73,0.12911128
74,0.12906769
75,0.13472256
76,0.12909214
77,0.12906513
78,0.13471021
79,0.12914293
80,0.1346804
81,0.1461238
82,0.1289713
83,0.12894952
84,0.1289601
85,0.12909332
86,0.12914178
87,0.12902242
88,0.12917005
89,0.1290142
90,0.12901655
91,0.12901883
92,0.13473922
93,0.13469055
94,0.12899227
95,0.12903515
96,0.13470438
97,0.12897827
98,0.12907508
99,0.1291488
