,0
0,0.7894737
1,0.8076923
2,0.8076923
3,0.8235294
4,0.8235294
5,0.85714287
6,0.85714287
7,0.85714287
8,0.8076923
9,0.84
10,0.85714287
11,0.8076923
12,0.84615386
13,0.8301887
14,0.88
15,0.84615386
16,0.8301887
17,0.875
18,0.85714287
19,0.85714287
20,0.84
21,0.84
22,0.88
23,0.875
24,0.84
25,0.85714287
26,0.875
27,0.8627451
28,0.84
29,0.85714287
30,0.875
31,0.875
32,0.875
33,0.85714287
34,0.85714287
35,0.875
36,0.84
37,0.85714287
38,0.875
39,0.85714287
40,0.875
41,0.875
42,0.875
43,0.85714287
44,0.84
45,0.875
46,0.8979592
47,0.85714287
48,0.875
49,0.875
50,0.875
51,0.875
52,0.875
53,0.85714287
54,0.875
55,0.85714287
56,0.8979592
57,0.8979592
58,0.88
59,0.875
60,0.875
61,0.8979592
62,0.8979592
63,0.8979592
64,0.8979592
65,0.8979592
66,0.9166667
67,0.8979592
68,0.8979592
69,0.8979592
70,0.8979592
71,0.8979592
72,0.8979592
73,0.8979592
74,0.8979592
75,0.8979592
76,0.8979592
77,0.8979592
78,0.8979592
79,0.8979592
80,0.8979592
81,0.8979592
82,0.8979592
83,0.8979592
84,0.8979592
85,0.8979592
86,0.8979592
87,0.8979592
88,0.8979592
89,0.8979592
90,0.8979592
91,0.8979592
92,0.8979592
93,0.8979592
94,0.8979592
95,0.8979592
96,0.8979592
97,0.8979592
98,0.8979592
99,0.8979592
