,0
0,0.21367566
1,0.051150218
2,0.09685485
3,0.12938039
4,0.13558483
5,0.12975523
6,0.12953988
7,0.13590354
8,0.12948668
9,0.13004823
10,0.12921353
11,0.12906384
12,0.13556927
13,0.13483724
14,0.13518687
15,0.12925445
16,0.13474622
17,0.12919
18,0.14032124
19,0.13475686
20,0.12913871
21,0.12913948
22,0.14051865
23,0.12918653
24,0.13475786
25,0.12904745
26,0.13464895
27,0.12904218
28,0.14607543
29,0.1292125
30,0.13471241
31,0.13495082
32,0.13490711
33,0.12905726
34,0.13472927
35,0.13478868
36,0.12910196
37,0.13476329
38,0.13476208
39,0.1290027
40,0.1404652
41,0.14609946
42,0.12900466
43,0.12900558
44,0.13470489
45,0.1289979
46,0.12901758
47,0.1289756
48,0.1347605
49,0.12895113
50,0.12893656
51,0.12912536
52,0.1290377
53,0.12893078
54,0.12895247
55,0.13465962
56,0.12899843
57,0.1290589
58,0.13466722
59,0.12894008
60,0.12908672
61,0.13466991
62,0.13468008
63,0.12909997
64,0.1346183
65,0.13466948
66,0.14038996
67,0.13469431
68,0.14033118
69,0.128983
70,0.12898305
71,0.14038217
72,0.12893698
73,0.12896565
74,0.13467702
75,0.14035112
76,0.12894848
77,0.1346497
78,0.13466652
79,0.13466811
80,0.12892146
81,0.1346248
82,0.13464817
83,0.12892722
84,0.12900206
85,0.12892307
86,0.13467717
87,0.12894897
88,0.13467512
89,0.12889546
90,0.1346642
91,0.13462776
92,0.12894386
93,0.12891403
94,0.14038932
95,0.12890545
96,0.12891863
97,0.12891363
98,0.13466263
99,0.12890807
