,0
0,0.75268817
1,0.6666667
2,0.95
3,0.94827586
4,0.9655172
5,0.9649123
6,0.96428573
7,0.9734513
8,0.9557522
9,0.9734513
10,0.96428573
11,0.96428573
12,0.954955
13,0.954955
14,0.954955
15,0.954955
16,0.954955
17,0.954955
18,0.954955
19,0.954955
20,0.954955
21,0.954955
22,0.954955
23,0.954955
24,0.954955
25,0.954955
26,0.954955
27,0.954955
28,0.954955
29,0.954955
30,0.954955
31,0.9259259
32,0.9259259
33,0.9259259
34,0.9259259
35,0.96428573
36,0.96428573
37,0.96428573
38,0.9357798
39,0.9259259
40,0.9259259
41,0.9259259
42,0.9259259
43,0.9259259
44,0.9357798
45,0.9734513
46,0.9734513
47,0.9734513
48,0.91588783
49,0.91588783
50,0.91588783
51,0.96428573
52,0.9734513
53,0.9734513
54,0.98245615
55,0.954955
56,0.9259259
57,0.9259259
58,0.9259259
59,0.9259259
60,0.8952381
61,0.8952381
62,0.9259259
63,0.96428573
64,0.96428573
65,0.91588783
66,0.9056604
67,0.9357798
68,0.9357798
69,0.9357798
70,0.9357798
71,0.9357798
72,0.9357798
73,0.9357798
74,0.9357798
75,0.9357798
76,0.9357798
77,0.9357798
78,0.9357798
79,0.9357798
80,0.9357798
81,0.9357798
82,0.954955
83,0.96428573
84,0.9357798
85,0.9357798
86,0.9357798
87,0.9357798
88,0.9357798
89,0.9357798
90,0.9357798
91,0.9357798
92,0.9357798
93,0.9357798
94,0.9357798
95,0.9357798
96,0.9056604
97,0.9056604
98,0.9056604
99,0.9056604
