,0
0,0.35714287
1,0.6779661
2,0.7692308
3,0.7692308
4,0.8695652
5,0.90909094
6,0.8333333
7,0.9361702
8,0.9361702
9,0.9361702
10,0.88
11,0.9361702
12,0.9361702
13,0.9166667
14,0.9361702
15,0.8636364
16,0.9361702
17,0.9361702
18,0.9361702
19,0.9361702
20,0.9361702
21,0.9361702
22,0.9361702
23,0.9166667
24,0.9361702
25,0.9361702
26,0.9361702
27,0.9361702
28,0.9361702
29,0.9361702
30,0.9361702
31,0.9166667
32,0.9361702
33,0.9361702
34,0.9361702
35,0.9361702
36,0.95652175
37,0.9361702
38,0.9361702
39,0.9361702
40,0.9361702
41,0.9361702
42,0.9361702
43,0.95652175
44,0.9361702
45,0.9777778
46,0.9361702
47,0.9361702
48,0.9361702
49,0.9361702
50,0.9361702
51,0.9361702
52,0.9361702
53,0.9361702
54,0.9361702
55,0.9361702
56,0.9361702
57,0.9361702
58,0.95652175
59,0.9361702
60,0.9361702
61,0.9361702
62,0.95652175
63,0.95652175
64,0.95652175
65,0.9361702
66,0.9361702
67,0.9361702
68,0.9361702
69,0.9361702
70,0.95652175
71,0.9361702
72,0.95652175
73,0.9361702
74,0.9361702
75,0.9361702
76,0.95652175
77,0.9361702
78,0.9361702
79,0.95652175
80,0.9361702
81,0.9361702
82,0.9361702
83,0.9361702
84,0.9361702
85,0.9777778
86,0.9777778
87,0.9361702
88,0.9361702
89,0.9361702
90,0.9777778
91,0.9361702
92,0.9361702
93,0.9361702
94,0.9361702
95,0.9361702
96,0.9361702
97,0.9361702
98,0.9361702
99,0.9777778
