,0
0,0.21364082
1,0.05122238
2,0.09692798
3,0.14593674
4,0.1410099
5,0.14641786
6,0.12949702
7,0.12932362
8,0.12910332
9,0.12906079
10,0.13463263
11,0.13478392
12,0.12908639
13,0.12901035
14,0.14619091
15,0.1404112
16,0.13469583
17,0.13491744
18,0.14050052
19,0.14045706
20,0.13476615
21,0.1347668
22,0.12909958
23,0.13484181
24,0.12903255
25,0.12908316
26,0.13452251
27,0.12901707
28,0.12898928
29,0.13464648
30,0.13469711
31,0.12899047
32,0.13477547
33,0.13470307
34,0.13473302
35,0.12893437
36,0.12895042
37,0.13506225
38,0.12924705
39,0.12903178
40,0.13450564
41,0.13471471
42,0.13469356
43,0.13493909
44,0.12895918
45,0.13467553
46,0.13463983
47,0.13467576
48,0.12899092
49,0.12905939
50,0.13452974
51,0.13416685
52,0.1289497
53,0.14034452
54,0.1346441
55,0.13463102
56,0.12898493
57,0.14037777
58,0.13462678
59,0.1290299
60,0.13429385
61,0.12896246
62,0.12895222
63,0.12898286
64,0.13964115
65,0.13490385
66,0.12898044
67,0.12926428
68,0.13479643
69,0.12913004
70,0.12919147
71,0.13464898
72,0.1290307
73,0.12896994
74,0.128914
75,0.12908661
76,0.12901904
77,0.14039545
78,0.12904274
79,0.12896872
80,0.12898356
81,0.12904963
82,0.12897542
83,0.12908523
84,0.12893039
85,0.12918825
86,0.1348087
87,0.13466585
88,0.13496318
89,0.13484763
90,0.12905271
91,0.12896314
92,0.1290143
93,0.13469239
94,0.12897277
95,0.12903824
96,0.13473694
97,0.13467973
98,0.12894261
99,0.12892656
