,0
0,0.21371849
1,0.051348373
2,0.097068936
3,0.12925343
4,0.14063136
5,0.13075252
6,0.1353393
7,0.12957405
8,0.12935993
9,0.1295384
10,0.12964779
11,0.13489929
12,0.12927762
13,0.12900221
14,0.12922941
15,0.13147166
16,0.13545449
17,0.13488115
18,0.12936798
19,0.12912363
20,0.12901403
21,0.14029434
22,0.12913239
23,0.14037131
24,0.13482076
25,0.12905805
26,0.12896205
27,0.12899917
28,0.12906353
29,0.13536894
30,0.1289786
31,0.12902403
32,0.12923427
33,0.13462514
34,0.12896544
35,0.13468216
36,0.13474874
37,0.12894821
38,0.13486068
39,0.13459316
40,0.12909633
41,0.1290378
42,0.13465045
43,0.13464677
44,0.13493451
45,0.12892275
46,0.12893161
47,0.13470328
48,0.12913644
49,0.12902808
50,0.1346268
51,0.12956393
52,0.14030899
53,0.12901136
54,0.12904215
55,0.12910949
56,0.12895873
57,0.12893663
58,0.12932529
59,0.12902616
60,0.13450487
61,0.13347931
62,0.12906042
63,0.12896664
64,0.12905106
65,0.12900685
66,0.12896799
67,0.12892348
68,0.13913211
69,0.12903921
70,0.13479176
71,0.14034162
72,0.12904318
73,0.13490158
74,0.14040312
75,0.12897435
76,0.12899135
77,0.14036131
78,0.13472813
79,0.12907836
80,0.13479617
81,0.12894788
82,0.12894244
83,0.12894201
84,0.12891483
85,0.1346906
86,0.12892613
87,0.12897637
88,0.12890862
89,0.12898532
90,0.12892696
91,0.13464636
92,0.12893783
93,0.12907167
94,0.12907067
95,0.13463764
96,0.12892185
97,0.1403523
98,0.12902758
99,0.12896943
