,0
0,0.64705884
1,0.72727275
2,0.8301887
3,0.8
4,0.8301887
5,0.8148148
6,0.8148148
7,0.8148148
8,0.8627451
9,0.8148148
10,0.8301887
11,0.8301887
12,0.8627451
13,0.8627451
14,0.8627451
15,0.8148148
16,0.8148148
17,0.8148148
18,0.8148148
19,0.8301887
20,0.8627451
21,0.84615386
22,0.8148148
23,0.8148148
24,0.8148148
25,0.8627451
26,0.8301887
27,0.8148148
28,0.8148148
29,0.8301887
30,0.8148148
31,0.8627451
32,0.8301887
33,0.8148148
34,0.8148148
35,0.8301887
36,0.8148148
37,0.8148148
38,0.8
39,0.8
40,0.8627451
41,0.8
42,0.8
43,0.8
44,0.8
45,0.8
46,0.8
47,0.8
48,0.8
49,0.8
50,0.8
51,0.8
52,0.8627451
53,0.8627451
54,0.8
55,0.8
56,0.84615386
57,0.8627451
58,0.8
59,0.8
60,0.8301887
61,0.8301887
62,0.8
63,0.8301887
64,0.84615386
65,0.8
66,0.8301887
67,0.88
68,0.88
69,0.88
70,0.8627451
71,0.88
72,0.88
73,0.88
74,0.88
75,0.8301887
76,0.8
77,0.88
78,0.8627451
79,0.8
80,0.8
81,0.8
82,0.8
83,0.8
84,0.88
85,0.8301887
86,0.8301887
87,0.84615386
88,0.8627451
89,0.84615386
90,0.88
91,0.8301887
92,0.84615386
93,0.8301887
94,0.88
95,0.84615386
96,0.8301887
97,0.8
98,0.88
99,0.88
