,0
0,0.7111111
1,0.6666667
2,0.93442625
3,0.9491525
4,0.9579832
5,0.9655172
6,0.974359
7,0.9661017
8,0.9649123
9,0.973913
10,0.973913
11,0.9557522
12,0.9649123
13,0.9557522
14,0.9557522
15,0.9557522
16,0.9557522
17,0.9557522
18,0.9557522
19,0.9557522
20,0.9557522
21,0.9557522
22,0.9557522
23,0.9557522
24,0.9649123
25,0.9649123
26,0.98275864
27,0.98275864
28,0.98275864
29,0.94545454
30,0.96428573
31,0.9557522
32,0.9557522
33,0.96428573
34,0.96428573
35,0.96428573
36,0.96428573
37,0.9557522
38,0.96428573
39,0.96428573
40,0.954955
41,0.96428573
42,0.96428573
43,0.96428573
44,0.954955
45,0.9557522
46,0.954955
47,0.9357798
48,0.96428573
49,0.96428573
50,0.96428573
51,0.96428573
52,0.96428573
53,0.96428573
54,0.96428573
55,0.954955
56,0.96428573
57,0.96428573
58,0.96428573
59,0.96428573
60,0.96428573
61,0.96428573
62,0.954955
63,0.954955
64,0.954955
65,0.9734513
66,0.9734513
67,0.954955
68,0.96428573
69,0.9734513
70,0.9734513
71,0.9734513
72,0.9734513
73,0.96428573
74,0.96428573
75,0.96428573
76,0.9734513
77,0.9734513
78,0.9259259
79,0.9259259
80,0.94545454
81,0.94545454
82,0.954955
83,0.954955
84,0.954955
85,0.954955
86,0.954955
87,0.954955
88,0.954955
89,0.9649123
90,0.9357798
91,0.98275864
92,0.9649123
93,0.9734513
94,0.9734513
95,0.9357798
96,0.9259259
97,0.954955
98,0.954955
99,0.9734513
