,0
0,0.7659575
1,0.6666667
2,0.6666667
3,0.6666667
4,0.6666667
5,0.6666667
6,0.6666667
7,0.6666667
8,0.6666667
9,0.6666667
10,0.6666667
11,0.6666667
12,0.6666667
13,0.6666667
14,0.6666667
15,0.6666667
16,0.6666667
17,0.6666667
18,0.6666667
19,0.6666667
20,0.6666667
21,0.6666667
22,0.6666667
23,0.6666667
24,0.6666667
25,0.6666667
26,0.93442625
27,0.9391304
28,0.9557522
29,0.96428573
30,0.96428573
31,0.96428573
32,0.96428573
33,0.96428573
34,0.96428573
35,0.96428573
36,0.96428573
37,0.96428573
38,0.954955
39,0.954955
40,0.96428573
41,0.96428573
42,0.954955
43,0.96428573
44,0.96428573
45,0.96428573
46,0.96428573
47,0.96428573
48,0.94545454
49,0.96428573
50,0.96428573
51,0.96428573
52,0.96428573
53,0.96428573
54,0.9734513
55,0.98245615
56,0.96428573
57,0.94545454
58,0.9357798
59,0.96428573
60,0.96428573
61,0.96428573
62,0.954955
63,0.94545454
64,0.94545454
65,0.94545454
66,0.9056604
67,0.94545454
68,0.94545454
69,0.94545454
70,0.94545454
71,0.94545454
72,0.94545454
73,0.94545454
74,0.94545454
75,0.96428573
76,0.96428573
77,0.94545454
78,0.9357798
79,0.94545454
80,0.9056604
81,0.91588783
82,0.91588783
83,0.91588783
84,0.91588783
85,0.91588783
86,0.91588783
87,0.91588783
88,0.91588783
89,0.91588783
90,0.91588783
91,0.91588783
92,0.91588783
93,0.91588783
94,0.91588783
95,0.91588783
96,0.91588783
97,0.91588783
98,0.91588783
99,0.91588783
