,0
0,0.75
1,0.7169811
2,0.7169811
3,0.7307692
4,0.7307692
5,0.7755102
6,0.8235294
7,0.8235294
8,0.8235294
9,0.8235294
10,0.8076923
11,0.8076923
12,0.8076923
13,0.8076923
14,0.7777778
15,0.85714287
16,0.8235294
17,0.8076923
18,0.8235294
19,0.8235294
20,0.8076923
21,0.85714287
22,0.8235294
23,0.8076923
24,0.8076923
25,0.8235294
26,0.8235294
27,0.85714287
28,0.8235294
29,0.84
30,0.8076923
31,0.8235294
32,0.8235294
33,0.8235294
34,0.8076923
35,0.8076923
36,0.8235294
37,0.8235294
38,0.8235294
39,0.8235294
40,0.8235294
41,0.8235294
42,0.8235294
43,0.8076923
44,0.8076923
45,0.8076923
46,0.8076923
47,0.8076923
48,0.8235294
49,0.84
50,0.8235294
51,0.8235294
52,0.84
53,0.84
54,0.84
55,0.84
56,0.8235294
57,0.8235294
58,0.84
59,0.84
60,0.84
61,0.875
62,0.875
63,0.84
64,0.84
65,0.84
66,0.84
67,0.8235294
68,0.85714287
69,0.84
70,0.84
71,0.84
72,0.84
73,0.85714287
74,0.85714287
75,0.84
76,0.84
77,0.84
78,0.84
79,0.84
80,0.84
81,0.84
82,0.84
83,0.84
84,0.84
85,0.84
86,0.84
87,0.84
88,0.84
89,0.84
90,0.84
91,0.84
92,0.84
93,0.84
94,0.84
95,0.84
96,0.84
97,0.84
98,0.84
99,0.84
